id;Balise_Mere;title;label ;propriete de;aspect de;discipline;count
Q245016;TOPONYMIE;base militaire;site voué aux besoins des armées et géré par les militaires;{Q18691599};null;null;2
Q41176;TOPONYMIE;bâtiment;construction immobilière, réalisée par intervention humaine;{Q811979, Q13226383};null;null;3
Q2519340;TOPONYMIE;bâtiment administratif;bâtiment abritant les bureaux d'une société ou d'une administration;{Q1021645};null;null;1
Q24398318;TOPONYMIE;bâtiment religieux;Pas de descriptions;{Q21029893, Q41176, Q1370598};null;null;1
Q1244442;TOPONYMIE;bâtiment scolaire;bâtiment abritant ou ayant abrité une école;{Q41176, Q13226383};null;null;2
Q190258;ECONOMIE;besoin;travail;{Q2301186};null;null;1
Q29642950;2D;bibliothèque logicielle Python;Pas de descriptions;{Q188860, Q1995545, Q165194};null;null;1
Q23712;;bien d'intérêt culturel;monument historique en Espagne;{Q45580643, Q3816953, Q358, Q2065736};null;null;1
Q10494269;;Bien immeuble;catégorie juridique;{Q1400881, Q27096235};null;null;1
Q44;;bière;boisson alcoolisée;{Q154, Q169336};null;null;1
Q886837;;bilan sanguin;analyse de biologie médicale;{Q2709468, Q217602};null;null;1
Q101998;;biome;ensemble d'écosystèmes caractéristique d'une aire biogéographique;{Q107425, Q30336093};null;null;7
Q13270;;biscuit;petit gâteau sec;{Q13266, Q2095};null;null;2
Q40050;PRODUIT;boisson;liquide destiné à la consommation;{Q11435, Q2095};null;null;2
Q154;;boisson alcoolisée;boisson contenant de l'alcool éthylique;{Q40050};null;null;1
Q830382;;bonne pratique;méthode généralement reconnue pour la qualité de ses résultats;{Q1799072, Q28520605, Q30028999};Q757012;null;1
Q3957;;bourgade;agglomération urbanisée plus petite qu'une ville mais plus grande qu'un bourg (un grand village);{Q486972, Q702492, Q7930989};null;null;3
Q28598684;BIOLOGIE;branche de la biologie;type de discipline scientifique;{Q2465832};null;null;10
Q11790203;CHIMIE;branche de la chimie;Pas de descriptions;{Q2465832};Q2329;null;3
Q19935939;GEOGRAPHIE;branche de la géographie;Pas de descriptions;{Q11862829};null;null;1
Q87058424;GEOLOGIE;branche de la géologie;Pas de descriptions;{Q2465832, Q11862829};null;null;1
Q22811234;PHILOSOPHIE;branche de la philosophie;type de branche;{Q11862829};null;null;4
Q4162444;PHYSIQUE;branche de la physique;sous-domaine d'étude de la physique;{Q2465832};null;null;10
Q60031086;SCIENCES;branche de la pseudoscience;métaclasse de premier ordre;{Q1047113};null;null;4
Q60680430;PSYCOLOGIE;branche de la psychologie;Pas de descriptions;{Q2465832, Q1047113, Q11862829, Q2267705};null;null;2
Q60310061;THEOLOGIE;branche de la théologie;type de discipline académique;{Q11862829};null;null;1
Q99397804;ZOOLOGIE;branche de la zoologie;sous-champ de l'étude de la zoologie;{Q28598684};Q431;null;6
Q1936384;MATHEMATIQUE;branche des mathématiques;description des différentes catégories de mathématiques;{Q11862829, Q2465832};null;null;5
Q690109;JUSTICE;branche du service;ensemble de toutes les forces militaires au sein de l'unité d'organisation de l'armée;{Q37726};null;null;3
Q268592;ECONOMIE;branche économique;groupe d'entreprises qui fabriquent des produits similaires à proximité;{Q58778};null;null;13
Q726870;;brick and mortar;désigne une entreprise de vente traditionnelle ayant pignon sur rue;{Q4830453, Q6881511};null;null;1
Q131401;;califat;territoire sous l'autorité d'un calife;{Q4204060, Q1250464};null;null;1
Q2934676;;cambion;être imaginaire;{Q6549417};null;null;1
Q1070290;;camp de prisonniers de guerre;lieu de détention des combattants ennemis en temps de guerre;{Q40357};null;null;2
Q831663;;campagne militaire;opération militaire à grande échelle, de longue durée et significative sur le plan stratégique;{Q645883, Q149377, Q18812548, Q180684};null;null;1
Q5119;TOPONYMIE;capitale;ville où siège le pouvoir d'un pays;{Q486972, Q2097994};null;null;3
Q3241972;DATA;caractère;symbole ou signe;{Q80071, Q3695082};null;null;2
Q366773;EE;caractère;manière dont une personne réagit habituellement dans une situation donnée;{Q2393196};null;Q997006;1
Q128234;LINGUISTIQUE;cas grammatical;Pas de descriptions;{Q980357};null;null;4
Q13698;JEU;casse-tête;type de jeu;{Q11410};null;null;1
Q38033430;;catégorie d'une distinction;grade ou catégorie d'un prix (ordre, medal, etc.);{Q16889133, Q618779};null;null;1
Q2305862;CIVILISATION;catégorie sociale;ensemble d'individus ayant des caractéristiques démographiques socialement pertinents et particulièrement importantes communes;{Q851990};null;null;1
Q27949697;;cause de la dépréciation sur Wikidata;utilisé par P2241;{Q21281405};Q73737357;null;6
Q1931388;MEDECINE;cause du décès;origine du décès d'une personne;{Q179289};null;null;9
Q94920;;célébration dans le judaïsme;Pas de descriptions;{Q375011};null;null;1
Q498162;;census-designated place;zone délimitée par le Bureau du recensement des États-Unis à des fins statistiques;{Q17343829, Q15042037, Q3389680, Q486972, Q2221906};null;null;2
Q11315;;centre commercial;bâtiment comprenant sous un même toit des commerces de détail logés dans des galeries couvertes;{Q18760388, Q39659371};null;null;1
Q958314;;cépage;type de plant de vigne caractérisé;{Q3248828, Q4886};null;null;11
Q705914;;certificat;document légal;{Q327197, Q49848, Q11028};null;null;1
Q46831;TOPONYMIE;chaîne de montagnes;relief d'altitude rassemblant plusieurs montagnes, sommets, pics, monts et autres aiguilles;{Q271669};null;null;4
Q2001305;;chaîne de télévision;organisme diffusant des programmes télévisés;{Q733553};null;null;2
Q375928;;chambre basse;chambre d'un parlement bicaméral;{Q10553309};null;null;1
Q1150070;;changement;décrit les processus, les événements ou actions qui s'écartent du statu quo;{Q1190554};null;null;1
Q7366;;chanson;œuvre musicale composée d'un texte et d'une mélodie;{Q7725634, Q207628, Q685884};null;null;3
Q63141557;;chanson traduite;chanson traduite ou adapté par rapport à la version originale;{Q7366, Q39811647, Q836950, Q107528122};null;null;2
Q17279032;;charge élective;Pas de descriptions;{Q294414, Q11997597, Q103838820};Q188759;null;1
Q197811;;chariot hippomobile;Pas de descriptions;{Q1112950};null;null;1
Q27120684;;chat de fiction;Pas de descriptions;{Q15831457};null;null;1
Q23413;;château fort;demeure seigneuriale fortifiée;{Q57821};null;Q2941393;2
Q305;;châtiment corporel;forme de punition où une douleur physique est infligée à une personne;{Q186361};null;null;1
Q956214;;chef-lieu;ville administrativement prééminente dans une division territoriale de certains pays;{Q1306755, Q470540};null;null;1
Q726;;cheval;grand mammifère herbivore et ongulé;{Q165115, Q57814795};null;Q1157006;1
Q2962925;;cheval de fiction;cheval issu d'une œuvre de fiction;{Q27303980};null;null;1
Q2280977;;chien de l'enfer;chien surnaturel aparaissant dans divers folklores et mythologies;{Q30307328};null;null;1
Q1387388;;chimère;Pas de descriptions;{Q2239243, Q6549417};null;null;2
Q39614;;cimetière;lieu où l'on enterre les morts;{Q1497375, Q12131650, Q13226383, Q811979};Q4;Q4316669;1
Q846659;;cimetière juif;lieu où sont enterrés les morts juifs;{Q39614};null;null;1
Q229390;FILM;cinéma en relief;Pas de descriptions;{Q11424};null;null;1
Q2438541;;circonstances du décès;Pas de descriptions;{Q1931388};null;null;3
Q1815901;;circuit électronique;ensemble de composants électroniques interconnectés;{Q132629, Q2424752};null;null;1
Q124695;ELEMENTS;cire;Substance chimique dont les propriétés sont similaires à celles de la cire d'abeille.;{Q79529, Q214609};null;null;1
Q15661340;VILLE;cité antique;type de cité perdue;{Q515};null;null;4
Q1093829;;city;type administratif de municipalité au niveau d'un gouvernement local aux États-Unis;{Q3327870, Q515};null;null;4
Q8432;;civilisation;état d'évolution d'une société;{Q8425};Q1156970;null;3
Q713623;;clade;groupe d'organismes monophylétiques composé d'un ancêtre commun et de tous ses descendants linéaires;{Q16521};null;null;1
Q56256173;ELEMENTS;classe de composés chimiques avec des applications ou fonctions similaires;métaclasse de deuxième ordre;{Q100434640};null;null;8
Q28923954;;classe de languoïde;par exemple dialecte, langue, macrolangue, sous-famille, ou super-famille de langues ;{Q4120621};null;Q8162;5
Q20027951;;classe de puissance d'avion;Pas de descriptions;{Q1875621};null;null;1
Q100434640;;classe de substances chimique par usage;Pas de descriptions;{Q17339814};null;null;5
Q55983715;CREATURE;classe d'organismes connu par un nom commun;Pas de descriptions;{Q21871294};null;null;125
Q20027953;;classe fonctionnelle des aéronefs;Pas de descriptions;{Q1875621};null;null;1
Q2976049;;classe pharmacologique;catégorie de médicaments utilisée afin de classer un médicament selon certains critères;{Q16889133};null;null;1
Q55499636;;classe pharmacologique de composés chimiques;Pas de descriptions;{Q17339814};null;null;1
Q187588;CIVILISATION;classe sociale;Pas de descriptions;{Q874405, Q841628};null;Q21201;11
Q47154513;ELEMENTS;classe structurale de composés chimiques;classification;{Q17339814};null;null;52
Q15831325;;classe utilisée dans la Classification Décimale Universelle;Pas de descriptions;{Q16889133};null;null;1
Q836985;;classification des automobiles;système de classification spécialisé;{Q12060681};null;null;1
Q98966309;;classification des établissements humains;Pas de descriptions;{Q5962346};Q486972;null;3
Q28094186;;client XMPP;Pas de descriptions;{Q2462003};null;null;1
Q476028;;club de football;club sportif dédié au football;{Q17270000};null;null;1
Q6138528;;coalition politique;union entre plusieurs partis politiques;{Q60170135, Q124964};null;null;1
Q2894814;;cocktail à base de vin;Pas de descriptions;{Q134768};null;null;1
Q2536409;;cocktail officiel de l'IBA;Pas de descriptions;{Q134768};null;null;3
Q188889;;code;système de règles pour la conversion d'informations (codification);{Q3695082, Q1783551};null;null;1
Q2119819;;code de conduite;Pas de descriptions;{Q1151067, Q49848};Q730573;null;2
Q1300162;;code d'honneur académique;Pas de descriptions;{Q1151067};Q207333;null;1
Q922203;;code juridique;compilation organisée de textes législatifs et/ou réglementaires;{Q49371, Q571, Q1614239};null;null;2
Q327496;MODE;coiffure;art d'arranger les cheveux;{Q207961};null;null;10
Q867242;;collectif de bande dessinée;publication (périodique ou non) contenant des bandes dessinées réalisées par plusieurs auteurs;{Q41298, Q1760610, Q105420};null;null;1
Q2668072;;collection;ensemble d'objets collectés selon certaines caractéristiques communes (devrait être qualifié avec P642 pour plus de précision);{Q16686448, Q16887380, Q386724, Q223557};null;null;1
Q2608849;;collection;nom de marque d'un éditeur;{Q1417728, Q2085381};Q16023725;null;1
Q12051052;;collectionner (activité);sorte de passe-temps;{Q47728};null;null;1
Q54050;;colline;relief généralement modéré et relativement peu étendu;{Q2221906, Q271669};null;Q52109;3
Q3573632;;comarque historique du Roussillon;Pas de descriptions;{Q19953632};null;null;1
Q133235;;combustion;réaction chimique exothermique;{Q82682, Q205949};Q209233;null;1
Q838795;LITTÉRATURE;comic strip;bande dessinée de quelques cases;{Q1004};null;null;2
Q1497090;;commandement;règle éthique ou religieuse;{Q216200};null;null;1
Q10742;;communauté autonome d’Espagne;premier niveau de division administrative et politique d'Espagne;{Q3183364, Q1048835, Q10864048, Q17147642};null;null;1
Q2742167;;communauté religieuse;Pas de descriptions;{Q43229, Q177634};null;null;1
Q666943;;commune associée;statut administratif français d'une subdivision communale ayant conservé une certaine autonomie au sein d'une plus grande commune formée par fusion-association et non par fusion simple.;{Q192498, Q19730508};null;null;1
Q15273785;;commune belge avec titre de ville;Pas de descriptions;{Q493522, Q515};null;null;2
Q262166;TOPONYMIE;commune d'Allemagne;division administrative allemande;{Q11618417, Q387917, Q15284, Q14757767};null;null;4
Q493522;TOPONYMIE;commune de Belgique;division administrative de la Belgique;{Q15623264, Q3266850, Q11618417, Q14757767, Q15284};null;null;4
Q33146843;;commune de Catalogne;Pas de descriptions;{Q2074737, Q11917457};null;null;3
Q484170;TOPONYMIE;commune de France;type de division administrative française pour les municipalités;{Q583865, Q11618417, Q15284, Q14757767, Q15640612, Q3266850, Q192611, Q486972};null;null;236
Q2590631;;commune de Hongrie;type de division administrative de Hongrie;{Q532, Q14502790};null;null;2
Q70208;TOPONYMIE;commune de Suisse;division administrative suisse;{Q7631075, Q13220204, Q11618417, Q2101494};null;null;8
Q21869758;;commune déléguée;statut administratif français;{Q192498, Q19730508, Q15640612};null;null;3
Q2039348;;commune des Pays-Bas;subdivision administrative des Pays-Bas;{Q11618417, Q15042137, Q13220204, Q15284, Q192611};null;null;2
Q747074;TOPONYMIE;commune d'Italie;subdivision administrative d'Italie;{Q13221722, Q2824645, Q15284};null;null;17
Q3685462;;commune haïtienne;Pas de descriptions;{Q1779026, Q1907114, Q3266850};null;null;2
Q783794;;compagnie;association de personnes individuelles réelles et/ou d'autres sociétés;{Q43229, Q3778211};null;Q8134;1
Q2393314;;compagnie de danse;groupe de danseurs;{Q742421};null;null;1
Q1497364;;complexe immobilier;groupe de plusieurs bâtiments;{Q811979, Q1497375};null;null;1
Q22325163;;complexe macromoléculaire;Pas de descriptions;{Q5058355, Q726004};null;null;1
Q420927;;complexe protéique;complexe macromoléculaire composé d'au moins deux polypeptides;{Q22325163, Q8054, Q66560214, Q107434516};null;null;1
Q9332;EE;comportement;actions d'un être vivant;{Q1914636};null;Q3919817;4
Q14819856;;comportement alimentaire;façon dont un organisme peut se nourrir;{Q2990593};null;null;1
Q2990593;COMPORTEMENT;comportement animal;ensemble des activités de l'animal qui se manifeste à un observateur extérieur;{Q9332, Q2996394};null;Q7155;1
Q3769299;EE;comportement humain;variétés de comportements manifestés par les humains;{Q9332};Q5;Q9418;4
Q2110808;COMPORTEMENT;comportement religieux;Pas de descriptions;{Q9332};null;null;1
Q608;;comportement sexuel humain;étude sur les aspects purement physique de la sexualité humaine;{Q107289510, Q1190058};Q154136;null;3
Q1310239;;composant;type de partie;{Q15989253, Q337060};null;null;1
Q28845870;;composant biologique;Pas de descriptions;{Q1310239, Q16686022};null;null;1
Q5058355;COMPOSANTS;composant cellulaire;type de composant;{Q105286124, Q66557947};null;null;10
Q839546;;composant de machine;composants élémentaires d'une machine;{Q811909, Q66310125, Q8205328};null;null;1
Q5156698;;composant de moteur à combustion interne;Pas de descriptions;{Q839546, Q66310125};null;null;1
Q64578669;;composant de véhicule;composant de véhicule (à moteur);{Q811909};null;null;1
Q811909;COMPOSANTS;composant technologique;composant fondamental d'un appareil ou d'une machine, qui participe au mécanisme plutôt qu'à l'habillage;{Q1310239, Q16686448};null;null;5
Q11173;ELEMENTS;composé chimique;substance chimique pure composée d’atomes de deux ou plus éléments chimiques différents;{Q578779, Q20026787};null;Q2329;102
Q174211;;composé organique;type de composé chimique;{Q2901852};null;Q11351;2
Q46744;;compréhension;aptitude à appréhender un objet;{Q1347367, Q54989186};null;null;1
Q1138494;;comté traditionnel d'Angleterre;page de liste de Wikipédia;{Q171809, Q67376938};null;null;1
Q151885;;concept;représentation générale et abstraite de la réalité d'un objet, d'une situation ou d'un phénomène;{Q2145290, Q7184903, Q1347367};null;null;55
Q29028649;ECONOMIE;concept économique;concept utilisé en science économique;{Q151885};Q8134;null;9
Q21550639;;concept géométrique;Pas de descriptions;{Q24034552};null;Q8087;2
Q24457356;;concept historiographique;classe de concepts utilisés dans l'étude de l'histoire distincte de l'histoire elle-même;{Q151885};null;null;1
Q2135465;JUSTICE;concept juridique;type de terme;{Q151885, Q76419834};null;null;16
Q24034552;MATHEMATIQUE;concept mathématique;entité abstraite liée aux mathématiques;{Q151885};null;Q395;8
Q33104279;PHILOSOPHIE;concept philosophique;terme philosophique pour un contenu de signification;{Q151885};Q5891;null;28
Q33104069;;concept politique;type de concept;{Q151885};Q7163;Q36442;2
Q23847174;RELIGION;concept religieux;type de concept;{Q151885};Q9174;null;23
Q33104129;;concept sociologique;type de concept;{Q151885};Q21201;null;3
Q49447;;conception du monde;conception du monde de chacun selon sa sensibilité particulière;{Q131841, Q12558574};null;null;7
Q2596997;;condiment;substance ajoutée à la nourriture pour en améliorer le goût;{Q2095, Q25416091, Q189567};null;null;1
Q813912;;condition;état ou circonstances d'un objet ou d'un événement;{Q3505845};null;Q5891;3
Q7189713;;condition physiologique;type de condition;{Q3505845};null;Q521;4
Q309252;;condition physique;fait d'être physiquement en forme;{Q7981051, Q32090, Q60389878};Q12147;Q103961937;1
Q2992500;;configuration d'aile;Pas de descriptions;{Q36993249};Q20078304;null;1
Q14946528;;confusion;cause de la dépréciation sur Wikidata;{Q29485, Q17853087};null;null;1
Q1384677;;congrégation religieuse;Pas de descriptions;{Q5135744};null;null;1
Q10862338;;connaissance scientifique;Pas de descriptions;{Q9081};null;null;1
Q231043;;consentement;Pas de descriptions;{Q451967, Q628523, Q7169333};null;null;1
Q8928;;constellation;groupe d'étoiles voisines sur la sphère céleste, présentant une figure conventionnelle déterminée, à laquelle on a donné un nom particulier;{Q6999, Q9262};null;null;2
Q786820;;constructeur automobile;entreprise ou personne produisant des voitures;{Q6881511, Q13235160};null;null;1
Q15081030;;constructeur motocycle;fabricant de motos ou scooters;{Q786820};null;null;1
Q385378;;construction;processus d'assemblage ou de fabrication d'un bâtiment ou d'une infrastructure;{Q7406919, Q451967, Q10843872, Q732298, Q11398090};Q811979;Q11023;1
Q2995263;;Construction d'une motocyclette;Les parties ou pièces d'une motocyclette;{Q46765731};null;null;2
Q1474213;;construction grammaticale;Pas de descriptions;{Q184754, Q980357};null;null;1
Q1221280;;conte populaire;conte traditionnellement convoyé par l'oral;{Q7832362, Q17991521};null;null;1
Q732177;;contenant sacré;Pas de descriptions;{Q56612157, Q21818579};null;null;2
Q215844;;continuum linguistique;Pas de descriptions;{Q17376908};null;null;1
Q122224;;contraception;acte, dispositif ou médicament destiné à prévenir la formation d'un embryon;{Q1280670};null;null;1
Q694324;;contravention;infractions punies de peines d'amende;{Q1456832};null;null;2
Q931652;;convection atmosphérique;Cellules Convectionnelles;{Q160329};Q25261;null;3
Q22664;;coordonnées géographiques;système de localisation terrestre;{Q11210};null;null;2
Q31029;;corde;corps long, flexible, résistant, rond, composé de fils tortillés;{Q320809, Q11064354, Q17144541, Q28823};null;null;1
Q170161;;corporation;sociétés d'artisan au Moyen Âge;{Q431603};null;null;1
Q2512777;;corps simple;substance constituée d'un seul élément chimique;{Q578779};null;null;1
Q2257348;;correcteur grammatical;programme informatique qui vérifie la conformité d'un texte aux règles de grammaire et de la sémantique;{Q40056};null;null;1
Q131207;ELEMENTS;cosmétique;traitement destiné à améliorer l'esthétique humaine;{Q79529, Q2424752, Q2114846};Q2474068;null;1
Q15830292;;costume ecclésiastique;vêtement liturgique de l'Église catholique;{Q19978874, Q1405615};null;null;1
Q3172759;;costume traditionnel;costume caractéristique d'une région, une ville, un pays;{Q28854784, Q9053464, Q109810467};null;Q105812644;1
Q683363;;cotre;gréement de bateau à voile;{Q11446};null;null;2
Q29653271;;couche de l'atmosphère;Pas de descriptions;{Q23497981};null;null;5
Q1075;PHYSIQUE;couleur;perception subjective par l'œil d'une ou plusieurs longueurs d'ondes lumineuses;{Q40890790, Q14506045, Q1207505};null;Q14620;17
Q3404720;COULEUR;couleur;attribut coloré d'un champ ou d'un fond en héraldique;{Q1075, Q834104};null;null;1
Q1048314;COULEUR;couleur des cheveux;pigmentation colorée des capillaires;{Q1075, Q105096490};null;Q105582462;1
Q20986771;;coumarines;Pas de descriptions;{Q59078, Q417181, Q73354048};null;null;1
